epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5041,0.41068,2.53526,1.0183,0.00333,1,0.995,0.95936,0.21805,2.72866,0.88038,0.00032,0.00032,0.00032
2,159.514,0.21041,1.29187,0.81254,1,0.94361,0.995,0.97891,0.23392,2.35747,0.90036,0.00059466,0.00059466,0.00059466
3,239.103,0.21738,1.0731,0.80567,0.99582,1,0.995,0.92277,0.45781,1.62696,0.99573,0.000802,0.000802,0.000802
4,317.483,0.19816,0.93906,0.78633,0.99632,1,0.995,0.96796,0.30103,1.34312,0.90104,0.00094202,0.00094202,0.00094202
5,393.837,0.20647,0.86888,0.83217,0.99759,1,0.995,0.95093,0.29193,0.9891,0.90252,0.00101472,0.00101472,0.00101472
6,469.895,0.20209,0.79324,0.80035,0.9976,1,0.995,0.96796,0.24569,0.85251,0.87523,0.00101,0.00101,0.00101
7,546.313,0.17337,0.72211,0.79932,0.99755,1,0.995,0.995,0.21657,0.80673,0.86878,0.000812,0.000812,0.000812
8,623.087,0.15761,0.66897,0.7939,0.99804,1,0.995,0.995,0.14196,0.64807,0.84636,0.000614,0.000614,0.000614
9,698.597,0.14031,0.62663,0.78194,0.99808,1,0.995,0.995,0.10468,0.53244,0.83802,0.000416,0.000416,0.000416
10,774.133,0.12048,0.58887,0.76421,0.99812,1,0.995,0.995,0.09617,0.51515,0.83848,0.000218,0.000218,0.000218
